ano,estado,estado_cod,ntl_idx,fuente
2007,Tachira,TA,9.5492,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Trujillo,TR,9.4443,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Vargas,VA,26.606,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Yaracuy,YA,11.9342,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2007,Zulia,ZU,12.5213,Li et al. (2020/2024) Figshare:9828827 file:17626109 Harmonized NTL 2007 calDMSP
2008,Amazonas,AM,13.5088,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Anzoategui,AN,12.371,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Apure,AP,11.2542,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Aragua,AR,19.6432,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Barinas,BA,11.0248,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Bolivar,BO,12.1601,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Carabobo,CA,17.9607,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Cojedes,CO,15.5234,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Delta Amacuro,DE,13.4687,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Dependencias Fed.,DF,16.785,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Distrito Capital,DC,45.1092,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Falcon,FA,9.7061,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
2008,Guarico,GU,11.048,Li et al. (2020/2024) Figshare:9828827 file:17626016 Harmonized NTL 2008 calDMSP
