año,mes,fecha,pulse_score,cobertura_pct,disponibilidad_pct,n_vars,n_vars_total,produccion_disponible,mes_cerrado,elegible_modelo,estado,delta_1m,delta_comparable_1m,efecto_composicion_1m,cobertura_comun_1m_pct,composicion_estable_1m,delta_3m,delta_comparable_3m,efecto_composicion_3m,cobertura_comun_3m_pct,composicion_estable_3m
2021,7,2021-07-01,52.45,96.0,96.0,14,15,True,True,True,utilizable,-2.79,-2.7936,0.0036,96.0,True,1.42,1.4222,-0.0022,96.0,True
2021,8,2021-08-01,55.13,96.0,96.0,14,15,True,True,True,utilizable,2.68,2.6754,0.0046,96.0,True,2.3,2.2959,0.0041,96.0,True
2021,9,2021-09-01,52.55,96.0,96.0,14,15,True,True,True,utilizable,-2.58,-2.5767,-0.0033,96.0,True,-2.69,-2.6949,0.0049,96.0,True
2021,10,2021-10-01,56.29,96.0,96.0,14,15,True,True,True,utilizable,3.74,3.7448,-0.0048,96.0,True,3.84,3.8435,-0.0035,96.0,True
2021,11,2021-11-01,57.65,96.0,96.0,14,15,True,True,True,utilizable,1.36,1.3567,0.0033,96.0,True,2.52,2.5248,-0.0048,96.0,True
2021,12,2021-12-01,61.51,96.0,96.0,14,15,True,True,True,utilizable,3.86,3.8599,0.0001,96.0,True,8.96,8.9614,-0.0014,96.0,True
2022,1,2022-01-01,56.42,96.0,96.0,14,15,True,True,True,utilizable,-5.09,-5.0896,-0.0004,96.0,True,0.13,0.1271,0.0029,96.0,True
2022,2,2022-02-01,56.0,96.0,96.0,14,15,True,True,True,utilizable,-0.42,-0.4197,-0.0003,96.0,True,-1.65,-1.6494,-0.0006,96.0,True
2022,3,2022-03-01,59.73,96.0,96.0,14,15,True,True,True,utilizable,3.73,3.7261,0.0039,96.0,True,-1.78,-1.7832,0.0032,96.0,True
2022,4,2022-04-01,64.59,96.0,96.0,14,15,True,True,True,utilizable,4.86,4.8606,-0.0006,96.0,True,8.17,8.1669,0.0031,96.0,True
2022,5,2022-05-01,59.42,96.0,96.0,14,15,True,True,True,utilizable,-5.17,-5.1715,0.0015,96.0,True,3.42,3.4152,0.0048,96.0,True
2022,6,2022-06-01,60.95,96.0,96.0,14,15,True,True,True,utilizable,1.53,1.5334,-0.0034,96.0,True,1.22,1.2225,-0.0025,96.0,True
2022,7,2022-07-01,52.2,96.0,96.0,14,15,True,True,True,utilizable,-8.75,-8.7546,0.0046,96.0,True,-12.39,-12.3926,0.0026,96.0,True
2022,8,2022-08-01,55.87,96.0,96.0,14,15,True,True,True,utilizable,3.67,3.6703,-0.0003,96.0,True,-3.55,-3.5508,0.0008,96.0,True
2022,9,2022-09-01,48.45,96.0,96.0,14,15,True,True,True,utilizable,-7.42,-7.4153,-0.0047,96.0,True,-12.5,-12.4996,-0.0004,96.0,True
2022,10,2022-10-01,49.31,96.0,96.0,14,15,True,True,True,utilizable,0.86,0.8604,-0.0004,96.0,True,-2.89,-2.8846,-0.0054,96.0,True
2022,11,2022-11-01,53.35,96.0,96.0,14,15,True,True,True,utilizable,4.04,4.0349,0.0051,96.0,True,-2.52,-2.52,-0.0,96.0,True
2022,12,2022-12-01,47.12,96.0,96.0,14,15,True,True,True,utilizable,-6.23,-6.2261,-0.0039,96.0,True,-1.33,-1.3308,0.0008,96.0,True
2023,1,2023-01-01,49.05,96.0,96.0,14,15,True,True,True,utilizable,1.93,1.9263,0.0037,96.0,True,-0.26,-0.2649,0.0049,96.0,True
2023,2,2023-02-01,47.38,96.0,96.0,14,15,True,True,True,utilizable,-1.67,-1.6624,-0.0076,96.0,True,-5.97,-5.9622,-0.0078,96.0,True
2023,3,2023-03-01,45.85,96.0,96.0,14,15,True,True,True,utilizable,-1.53,-1.5327,0.0027,96.0,True,-1.27,-1.2688,-0.0012,96.0,True
